上市公司代码,上市公司简称,门类代码,门类简称,次类代码,次类简称,大类代码,大类简称
603081,大丰实业,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603082,北自科技,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
603083,剑桥科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603085,天成自控,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603086,先达股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603087,甘李药业,C,制造业,CE,石油、化学、生物医药,27,医药制造业
603088,宁波精达,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
603089,正裕工业,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603090,宏盛股份,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
603091,众鑫股份,C,制造业,CD,造纸、印刷、文教,22,造纸和纸制品业
603093,南华期货,J,金融业,,,67,资本市场服务
603095,越剑智能,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603096,新经典,R,文化、体育和娱乐业,,,86,新闻和出版业
603097,江苏华辰,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603098,森特股份,E,建筑业,,,50,建筑装饰、装修和其他建筑业
603099,长白山,N,水利、环境和公共设施管理业,,,78,公共设施管理业
603100,川仪股份,C,制造业,CI,仪器、仪表,40,仪器仪表制造业
603101,汇嘉时代,F,批发和零售业,,,52,零售业
603102,百合股份,C,制造业,CA,食品、饮料、烟草,14,食品制造业
603103,横店影视,R,文化、体育和娱乐业,,,87,广播、电视、电影和录音制作业
603105,芯能科技,D,电力、热力、燃气及水生产和供应业,,,44,电力、热力生产和供应业
603106,恒银科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603107,上海汽配,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603108,润达医疗,F,批发和零售业,,,51,批发业
603109,神驰机电,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603110,东方材料,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603111,康尼机电,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
603112,华翔股份,C,制造业,CF,金属、非金属,33,金属制品业
603113,金能科技,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603115,海星股份,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603116,红蜻蜓,C,制造业,CB,纺织、服装、鞋帽,19,皮革、毛皮、羽毛及其制品和制鞋业
603117,万林物流,G,交通运输、仓储和邮政业,,,55,水上运输业
603118,共进股份,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603119,浙江荣泰,C,制造业,CF,金属、非金属,30,非金属矿物制品业
603120,肯特催化,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603121,华培动力,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603122,合富中国,F,批发和零售业,,,51,批发业
603123,翠微股份,F,批发和零售业,,,52,零售业
603124,江南新材,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603125,常青科技,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603126,中材节能,M,科学研究和技术服务业,,,74,专业技术服务业
603127,昭衍新药,M,科学研究和技术服务业,,,73,研究和试验发展
603128,华贸物流,G,交通运输、仓储和邮政业,,,58,多式联运和运输代理业
603129,春风动力,C,制造业,CG,专用、通用及交通运输设备,37,铁路、船舶、航空航天和其他运输设备制造业
603130,云中马,C,制造业,CB,纺织、服装、鞋帽,17,纺织业
603131,上海沪工,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
603132,金徽股份,B,采矿业,,,09,有色金属矿采选业
603135,中重科技,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603136,天目湖,N,水利、环境和公共设施管理业,,,78,公共设施管理业
603137,恒尚节能,E,建筑业,,,50,建筑装饰、装修和其他建筑业
603138,海量数据,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
603139,康惠股份,C,制造业,CE,石油、化学、生物医药,27,医药制造业
603150,万朗磁塑,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603151,邦基科技,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
603153,上海建科,M,科学研究和技术服务业,,,74,专业技术服务业
603155,新亚强,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603156,养元饮品,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
603158,腾龙股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603159,上海亚虹,C,制造业,CE,石油、化学、生物医药,29,橡胶和塑料制品业
603160,汇顶科技,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603161,科华控股,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603162,海通发展,G,交通运输、仓储和邮政业,,,55,水上运输业
603163,圣晖集成,E,建筑业,,,49,建筑安装业
603165,荣晟环保,C,制造业,CD,造纸、印刷、文教,22,造纸和纸制品业
603166,福达股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603167,渤海轮渡,G,交通运输、仓储和邮政业,,,55,水上运输业
603168,莎普爱思,C,制造业,CE,石油、化学、生物医药,27,医药制造业
603169,兰石重装,C,制造业,CG,专用、通用及交通运输设备,35,专用设备制造业
603170,宝立食品,C,制造业,CA,食品、饮料、烟草,14,食品制造业
603171,税友股份,I,信息传输、软件和信息技术服务业,,,64,互联网和相关服务
603172,万丰股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603173,福斯达,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
603176,汇通集团,E,建筑业,,,48,土木工程建筑业
603177,德创环保,N,水利、环境和公共设施管理业,,,77,生态保护和环境治理业
603178,圣龙股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603179,新泉股份,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603180,金牌家居,C,制造业,CC,木材、家具,21,家具制造业
603181,皇马科技,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603182,嘉华股份,C,制造业,CA,食品、饮料、烟草,13,农副食品加工业
603183,建研院,M,科学研究和技术服务业,,,74,专业技术服务业
603185,弘元绿能,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603186,华正新材,C,制造业,CH,电气、电子及通讯,39,计算机、通信和其他电子设备制造业
603187,海容冷链,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
603188,亚邦股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603189,网达软件,I,信息传输、软件和信息技术服务业,,,65,软件和信息技术服务业
603190,亚通精工,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603191,望变电气,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603192,汇得科技,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603193,润本股份,C,制造业,CE,石油、化学、生物医药,26,化学原料和化学制品制造业
603194,中力股份,C,制造业,CG,专用、通用及交通运输设备,34,通用设备制造业
603195,公牛集团,C,制造业,CH,电气、电子及通讯,38,电气机械和器材制造业
603196,日播时尚,C,制造业,CB,纺织、服装、鞋帽,18,纺织服装、服饰业
603197,保隆科技,C,制造业,CG,专用、通用及交通运输设备,36,汽车制造业
603198,迎驾贡酒,C,制造业,CA,食品、饮料、烟草,15,酒、饮料和精制茶制造业
603199,九华旅游,N,水利、环境和公共设施管理业,,,78,公共设施管理业
